87727, UCBV(1.4) (0.5), UCB1 (1.41), 1, 223145531332212012565556316636100, 0.205714285714286
20111, UCBV(1.4) (0.5), UCB1 (1.41), 1, 3321455213351211255163365062660200044, 0.114285714285714
10880, UCBV(1.4) (0.5), UCB1 (1.41), -1, 43242233234334500664660400026555, -0.285714285714286
98172, UCBV(1.4) (0.5), UCB1 (1.41), 0, 443233563445535534412666615622221111000000, 0
10432, UCBV(1.4) (0.5), UCB1 (1.41), 1, 3321542243433101144005362224055550066, 0.114285714285714
17727, UCBV(1.4) (0.5), UCB1 (1.41), 0, 433464344633242226166132021100150555550016, 0
10111, UCBV(1.4) (0.5), UCB1 (1.41), 1, 232230240654433625565, 0.48
12345, UCBV(1.4) (0.5), UCB1 (1.41), -1, 1353353311052651132244620202, -0.4
54321, UCBV(1.4) (0.5), UCB1 (1.41), -1, 532323325255264330442140050056666111, -0.171428571428571
67890, UCBV(1.4) (0.5), UCB1 (1.41), 1, 313351426, 0.754285714285714
19876, UCBV(1.4) (0.5), UCB1 (1.41), 1, 322233652553633066205005624044611, 0.205714285714286
29292, UCBV(1.4) (0.5), UCB1 (1.41), -1, 3321542203233500563446, -0.571428571428571
24680, UCBV(1.4) (0.5), UCB1 (1.41), -1, 33426562664242, -0.8
13579, UCBV(1.4) (0.5), UCB1 (1.41), 1, 3312113142536, 0.662857142857143
15937, UCBV(1.4) (0.5), UCB1 (1.41), 1, 423456363340643002223021264660411, 0.205714285714286
24068, UCBV(1.4) (0.5), UCB1 (1.41), 1, 353233220525536024646646441, 0.342857142857143
91357, UCBV(1.4) (0.5), UCB1 (1.41), -1, 2335623233255532256656066400041404, -0.228571428571429
