39123, GREEDY, UCBV (1.4) (0.5) (10000), -1, 3133313114444222, -0.742857142857143
75675, GREEDY, UCBV (1.4) (0.5) (10000), 1, 333232252233555656266040400110414, 0.205714285714286
12392, GREEDY, UCBV (1.4) (0.5) (10000), -1, 33323225253553225044, -0.628571428571429
11221, GREEDY, UCBV (1.4) (0.5) (10000), -1, 313433311014424322, -0.685714285714286
93715, GREEDY, UCBV (1.4) (0.5) (12500), -1, 32323325253554224446, -0.628571428571429
62735, GREEDY, UCBV (1.4) (0.5) (12500), -1, 333432332424412241111426166655, -0.342857142857143
42394, GREEDY, UCBV (1.4) (0.5) (12500), -1, 35333135511152252226351244, -0.457142857142857
12312, GREEDY, UCBV (1.4) (0.5) (12500), -1, 3434344331463616611224212221, -0.4
50452, GREEDY, UCBV (1.4) (0.5) (12500), -1, 3433344141301516443156566556202522, -0.228571428571429
22323, GREEDY, UCBV (1.4) (0.5) (12500), 1, 3431333110114040044036222, 0.388571428571429
39123, GREEDY, UCBV (1.4) (0.5) (12500), -1, 31343334414114341222, -0.628571428571429
75675, GREEDY, UCBV (1.4) (0.5) (12500), 1, 33313133141442222426461, 0.434285714285714
12392, GREEDY, UCBV (1.4) (0.5) (12500), -1, 3334303344442220252250045555, -0.4
11221, GREEDY, UCBV (1.4) (0.5) (12500), -1, 343334443141113615522622, -0.514285714285714
93715, GREEDY, UCBV (1.4) (0.5) (15000), -1, 3232332522355444, -0.742857142857143
62735, GREEDY, UCBV (1.4) (0.5) (15000), -1, 333232262233264446644555565540000011, -0.171428571428571
42394, GREEDY, UCBV (1.4) (0.5) (15000), -1, 35353553322220203006524544, -0.457142857142857
12312, GREEDY, UCBV (1.4) (0.5) (15000), -1, 3433344141311644361665522622, -0.4
50452, GREEDY, UCBV (1.4) (0.5) (15000), -1, 3433344431411212, -0.742857142857143
22323, GREEDY, UCBV (1.4) (0.5) (15000), -1, 34333036444646663555, -0.628571428571429
39123, GREEDY, UCBV (1.4) (0.5) (15000), -1, 31333431144411463422, -0.628571428571429
75675, GREEDY, UCBV (1.4) (0.5) (15000), -1, 3331313314144646441122, -0.571428571428571
12392, GREEDY, UCBV (1.4) (0.5) (15000), -1, 3331353315115445444222, -0.571428571428571
11221, GREEDY, UCBV (1.4) (0.5) (15000), -1, 343334414131122122, -0.685714285714286
93715, GREEDY, UCBV (1.4) (0.5) (17500), 1, 32323322362636624644404005555501111, 0.16
62735, GREEDY, UCBV (1.4) (0.5) (17500), -1, 33343033404004442222202611, -0.457142857142857
42394, GREEDY, UCBV (1.4) (0.5) (17500), -1, 353334354552422421, -0.685714285714286
12312, GREEDY, UCBV (1.4) (0.5) (17500), -1, 3433344642322225, -0.742857142857143
50452, GREEDY, UCBV (1.4) (0.5) (17500), -1, 343433443222242636266645555111161155, -0.171428571428571
22323, GREEDY, UCBV (1.4) (0.5) (17500), -1, 343433443222242536555525, -0.514285714285714
39123, GREEDY, UCBV (1.4) (0.5) (17500), -1, 3133343444411212, -0.742857142857143
75675, GREEDY, UCBV (1.4) (0.5) (17500), -1, 33323223252235544445, -0.628571428571429
12392, GREEDY, UCBV (1.4) (0.5) (17500), 1, 333232262533225556566540404, 0.342857142857143
11221, GREEDY, UCBV (1.4) (0.5) (17500), -1, 34333444314631141122, -0.628571428571429
93715, GREEDY, UCBV (1.4) (0.5) (20000), -1, 32333222352035525544, -0.628571428571429
62735, GREEDY, UCBV (1.4) (0.5) (20000), 1, 33313133141442222426461, 0.434285714285714
42394, GREEDY, UCBV (1.4) (0.5) (20000), -1, 353533355222202030065444, -0.514285714285714
12312, GREEDY, UCBV (1.4) (0.5) (20000), -1, 3434344336413110112622, -0.571428571428571
50452, GREEDY, UCBV (1.4) (0.5) (20000), 1, 343433443040300422222205555, 0.342857142857143
22323, GREEDY, UCBV (1.4) (0.5) (20000), -1, 343433414431121422, -0.685714285714286
39123, GREEDY, UCBV (1.4) (0.5) (20000), -1, 3434334040300431111222212245555505, -0.228571428571429
75675, GREEDY, UCBV (1.4) (0.5) (20000), -1, 33323225253322555044, -0.628571428571429
12392, GREEDY, UCBV (1.4) (0.5) (20000), -1, 33313133141441464422, -0.628571428571429
11221, GREEDY, UCBV (1.4) (0.5) (20000), -1, 34303334444030022224220611, -0.457142857142857
