80880, UCB1 (2), UCBV(2) (0.5), -1, 33215451552241134340, -0.628571428571429
17172, UCB1 (2), UCBV(2) (0.5), 1, 3320415, 0.8
60432, UCB1 (2), UCBV(2) (0.5), -1, 31343311446161165556436565350022400022, -0.114285714285714
87727, UCB1 (2), UCBV(2) (0.5), -1, 23332223300003444452525544006611, -0.285714285714286
20111, UCB1 (2), UCBV(2) (0.5), 1, 343334414112446255223112562, 0.342857142857143
10880, UCB1 (2), UCBV(2) (0.5), 1, 343344130221233204000442606266655, 0.205714285714286
98172, UCB1 (2), UCBV(2) (0.5), -1, 433433144615515661555114336600000022, -0.171428571428571
10432, UCB1 (2), UCBV(2) (0.5), 1, 6332145443355224104, 0.525714285714286
17727, UCB1 (2), UCBV(2) (0.5), 1, 3434334242223456665534556610500260011, 0.114285714285714
10111, UCB1 (2), UCBV(2) (0.5), -1, 315433133444515554311500010060666422, -0.171428571428571
12345, UCB1 (2), UCBV(2) (0.5), 1, 34331011414113443000055345522, 0.297142857142857
54321, UCB1 (2), UCBV(2) (0.5), 1, 4344301133462226255660101, 0.388571428571429
67890, UCB1 (2), UCBV(2) (0.5), -1, 43434430232225334402000666626556555011, -0.114285714285714
19876, UCB1 (2), UCBV(2) (0.5), 1, 3113455335661661052550132222000326644, 0.114285714285714
29292, UCB1 (2), UCBV(2) (0.5), 0, 353553121223112332155265640446600044001466, 0
24680, UCB1 (2), UCBV(2) (0.5), -1, 322323223505565655666611011313000244, -0.171428571428571
13579, UCB1 (2), UCBV(2) (0.5), 0, 343330444304666600430066111111555552222225, 0
15937, UCB1 (2), UCBV(2) (0.5), 1, 3312322156212231136166600503000, 0.251428571428571
24068, UCB1 (2), UCBV(2) (0.5), 0, 323322325226556556663111511136000000444444, 0
91357, UCB1 (2), UCBV(2) (0.5), 1, 33215455312232332544544, 0.434285714285714
