20991, GREEDY, UCBV (0.9) (1.1), 1, 3334344646334422266026220600055, 0.251428571428571
93715, GREEDY, UCBV (1.68) (0.54), -1, 34343340443131141222, -0.628571428571429
62735, GREEDY, UCBV (1.68) (0.54), -1, 33313331141441464422, -0.628571428571429
42394, GREEDY, UCBV (1.68) (0.54), -1, 3233322022303002454144, -0.571428571428571
12312, GREEDY, UCBV (1.68) (0.54), -1, 32323325253552325444, -0.628571428571429
50452, GREEDY, UCBV (1.68) (0.54), -1, 32333532222552544544, -0.628571428571429
22323, GREEDY, UCBV (1.68) (0.54), -1, 313331311444404130040222, -0.514285714285714
39123, GREEDY, UCBV (1.68) (0.54), -1, 32333222352032555544, -0.628571428571429
75675, GREEDY, UCBV (1.68) (0.54), 1, 33343441443311101626266550252, 0.297142857142857
12392, GREEDY, UCBV (1.68) (0.54), -1, 34333234422421, -0.8
11221, GREEDY, UCBV (1.68) (0.54), 1, 35333535522322244444562666400000111, 0.16
13200, GREEDY, UCBV (1.68) (0.54), 1, 34343342422234232040000555565661111, 0.16
99932, GREEDY, UCBV (1.68) (0.54), -1, 333133311511515555222000202244, -0.342857142857143
65651, GREEDY, UCBV (1.68) (0.54), 1, 3232332626366522355655444, 0.388571428571429
83737, GREEDY, UCBV (1.68) (0.54), -1, 333131331414414422, -0.685714285714286
20991, GREEDY, UCBV (1.68) (0.54), 1, 3333344441463411161026662020022, 0.251428571428571
93715, GREEDY, UCBV (1.8) (0.8), -1, 33343443414431111222, -0.628571428571429
62735, GREEDY, UCBV (1.8) (0.8), -1, 3233322525355022305001151110414644, -0.228571428571429
42394, GREEDY, UCBV (1.8) (0.8), -1, 323233223426444646623416111110000055, -0.171428571428571
12312, GREEDY, UCBV (1.8) (0.8), 1, 33323533252552205244444, 0.434285714285714
50452, GREEDY, UCBV (1.8) (0.8), -1, 33343442422420332240000011, -0.457142857142857
22323, GREEDY, UCBV (1.8) (0.8), 1, 3533353552222424444534200006066, 0.251428571428571
39123, GREEDY, UCBV (1.8) (0.8), -1, 3334334441411134112622, -0.571428571428571
75675, GREEDY, UCBV (1.8) (0.8), -1, 31333232222534444115155411562540000066, -0.114285714285714
12392, GREEDY, UCBV (1.8) (0.8), -1, 34333442422235, -0.8
11221, GREEDY, UCBV (1.8) (0.8), -1, 323332223520325050005544, -0.514285714285714
13200, GREEDY, UCBV (1.8) (0.8), -1, 3433344141311044312222, -0.571428571428571
99932, GREEDY, UCBV (1.8) (0.8), 1, 3233353525522424444532400006066, 0.251428571428571
65651, GREEDY, UCBV (1.8) (0.8), -1, 33343441413314141122, -0.628571428571429
83737, GREEDY, UCBV (1.8) (0.8), -1, 35333135511212242444, -0.628571428571429
20991, GREEDY, UCBV (1.8) (0.8), -1, 32333222352634454441, -0.628571428571429
93715, GREEDY, UCBV (2) (0.9), -1, 32333222352550544544, -0.628571428571429
62735, GREEDY, UCBV (2) (0.9), 1, 32333632262660223001141144454, 0.297142857142857
42394, GREEDY, UCBV (2) (0.9), -1, 343334414131134416262522, -0.514285714285714
12312, GREEDY, UCBV (2) (0.9), -1, 313133311440424422, -0.685714285714286
50452, GREEDY, UCBV (2) (0.9), -1, 333434464633442662202022060011, -0.342857142857143
22323, GREEDY, UCBV (2) (0.9), -1, 333434414133141122, -0.685714285714286
39123, GREEDY, UCBV (2) (0.9), -1, 343334443146341616611122, -0.514285714285714
75675, GREEDY, UCBV (2) (0.9), 1, 323233262636632244464445555510111, 0.205714285714286
12392, GREEDY, UCBV (2) (0.9), -1, 333434464633466422202220060011, -0.342857142857143
11221, GREEDY, UCBV (2) (0.9), 1, 3233322022303006264661444541141, 0.251428571428571
13200, GREEDY, UCBV (2) (0.9), -1, 33343341414411341222, -0.628571428571429
99932, GREEDY, UCBV (2) (0.9), -1, 32333222352550544144, -0.628571428571429
65651, GREEDY, UCBV (2) (0.9), -1, 333232223322444640440006606611, -0.342857142857143
83737, GREEDY, UCBV (2) (0.9), -1, 32323325253552325444, -0.628571428571429
20991, GREEDY, UCBV (2) (0.9), -1, 343334443141161636641122, -0.514285714285714
93715, GREEDY, UCBV (1.4) (0.5), -1, 3232332522355444, -0.742857142857143
62735, GREEDY, UCBV (1.4) (0.5), -1, 333232262233264446644555565540000011, -0.171428571428571
42394, GREEDY, UCBV (1.4) (0.5), -1, 35353553322220203006524544, -0.457142857142857
12312, GREEDY, UCBV (1.4) (0.5), -1, 3433344141311644361665522622, -0.4
50452, GREEDY, UCBV (1.4) (0.5), -1, 3433344431411212, -0.742857142857143
22323, GREEDY, UCBV (1.4) (0.5), -1, 34333036444646663555, -0.628571428571429
39123, GREEDY, UCBV (1.4) (0.5), -1, 31333431144411463422, -0.628571428571429
75675, GREEDY, UCBV (1.4) (0.5), -1, 3331313314144646441122, -0.571428571428571
12392, GREEDY, UCBV (1.4) (0.5), -1, 3331353315115445444222, -0.571428571428571
11221, GREEDY, UCBV (1.4) (0.5), -1, 343334414131122122, -0.685714285714286
13200, GREEDY, UCBV (1.4) (0.5), -1, 3334344433411411162122, -0.571428571428571
99932, GREEDY, UCBV (1.4) (0.5), -1, 363332362665222552563544, -0.514285714285714
65651, GREEDY, UCBV (1.4) (0.5), -1, 34333441413111443626266022, -0.457142857142857
83737, GREEDY, UCBV (1.4) (0.5), -1, 34343341413114341222, -0.628571428571429
20991, GREEDY, UCBV (1.4) (0.5), -1, 32333220243020024144, -0.628571428571429
93715, GREEDY, UCBV (2) (0.5), -1, 333233252522553444, -0.685714285714286
62735, GREEDY, UCBV (2) (0.5), -1, 3233322235203256565544, -0.571428571428571
42394, GREEDY, UCBV (2) (0.5), -1, 343433414131143222, -0.685714285714286
12312, GREEDY, UCBV (2) (0.5), -1, 3233322525355022305001161110414644, -0.228571428571429
50452, GREEDY, UCBV (2) (0.5), -1, 3433344431411212, -0.742857142857143
22323, GREEDY, UCBV (2) (0.5), -1, 323332252535523250414044, -0.514285714285714
39123, GREEDY, UCBV (2) (0.5), -1, 34333446463664355055542222, -0.457142857142857
75675, GREEDY, UCBV (2) (0.5), -1, 333434414133141122, -0.685714285714286
12392, GREEDY, UCBV (2) (0.5), -1, 3233322235203250500444445540111011, -0.228571428571429
11221, GREEDY, UCBV (2) (0.5), -1, 323332223520325550500044, -0.514285714285714
13200, GREEDY, UCBV (2) (0.5), -1, 3433344644363664202522, -0.571428571428571
99932, GREEDY, UCBV (2) (0.5), -1, 32333532222032555544, -0.628571428571429
65651, GREEDY, UCBV (2) (0.5), -1, 34343341413114341222, -0.628571428571429
83737, GREEDY, UCBV (2) (0.5), -1, 343433443222242326400606600611, -0.342857142857143
20991, GREEDY, UCBV (2) (0.5), -1, 323633302220223006444664464556505511, -0.171428571428571
93715, GREEDY, UCBV (10) (10), 1, 3031353, 0.8
62735, GREEDY, UCBV (10) (10), 1, 3430363, 0.8
42394, GREEDY, UCBV (10) (10), 1, 3530363, 0.8
12312, GREEDY, UCBV (10) (10), -1, 32323223302131, -0.8
50452, GREEDY, UCBV (10) (10), 1, 3530363, 0.8
22323, GREEDY, UCBV (10) (10), -1, 31333131131444414222, -0.628571428571429
39123, GREEDY, UCBV (10) (10), 1, 3230303, 0.8
75675, GREEDY, UCBV (10) (10), -1, 3433344431422522, -0.742857142857143
12392, GREEDY, UCBV (10) (10), -1, 323232233023255550500114144544, -0.342857142857143
11221, GREEDY, UCBV (10) (10), 1, 3236303, 0.8
13200, GREEDY, UCBV (10) (10), -1, 32323223302131, -0.8
99932, GREEDY, UCBV (10) (10), -1, 3433344431422522, -0.742857142857143
65651, GREEDY, UCBV (10) (10), -1, 3233322235244144, -0.742857142857143
83737, GREEDY, UCBV (10) (10), -1, 3433344431422522, -0.742857142857143
20991, GREEDY, UCBV (10) (10), -1, 333232232322444644466611, -0.514285714285714
93715, GREEDY, UCBV (0.1) (0.05), 1, 3130343, 0.8
62735, GREEDY, UCBV (0.1) (0.05), 1, 313333322221112512555651404, 0.342857142857143
42394, GREEDY, UCBV (0.1) (0.05), 1, 32333031202002253555101, 0.434285714285714
12312, GREEDY, UCBV (0.1) (0.05), 1, 3133303221202112300, 0.525714285714286
50452, GREEDY, UCBV (0.1) (0.05), 1, 3530323, 0.8
22323, GREEDY, UCBV (0.1) (0.05), 1, 3534323, 0.8
39123, GREEDY, UCBV (0.1) (0.05), 1, 343133311015404002412, 0.48
75675, GREEDY, UCBV (0.1) (0.05), 1, 3430343, 0.8
12392, GREEDY, UCBV (0.1) (0.05), 1, 3431343, 0.8
11221, GREEDY, UCBV (0.1) (0.05), 1, 3631333530101000144145445051522, 0.251428571428571
13200, GREEDY, UCBV (0.1) (0.05), 1, 33303230200621252, 0.571428571428572
99932, GREEDY, UCBV (0.1) (0.05), 1, 3532303, 0.8
65651, GREEDY, UCBV (0.1) (0.05), 1, 3332363223212114400, 0.525714285714286
83737, GREEDY, UCBV (0.1) (0.05), 1, 33363632266423212, 0.571428571428572
20991, GREEDY, UCBV (0.1) (0.05), -1, 33333222212110, -0.8
93715, GREEDY, UCBV (120) (30), 1, 3430323, 0.8
62735, GREEDY, UCBV (120) (30), 1, 3131311333102224244144224006000, 0.251428571428571
42394, GREEDY, UCBV (120) (30), 1, 3635333356566550212121102, 0.388571428571429
12312, GREEDY, UCBV (120) (30), 1, 3531323, 0.8
50452, GREEDY, UCBV (120) (30), 1, 3430363, 0.8
22323, GREEDY, UCBV (120) (30), -1, 35333535535222252444, -0.628571428571429
39123, GREEDY, UCBV (120) (30), -1, 33333321222110, -0.8
75675, GREEDY, UCBV (120) (30), 1, 343033334446442222262660000016111, 0.205714285714286
12392, GREEDY, UCBV (120) (30), -1, 32323223302131, -0.8
11221, GREEDY, UCBV (120) (30), 1, 3035363, 0.8
13200, GREEDY, UCBV (120) (30), 1, 3130313, 0.8
99932, GREEDY, UCBV (120) (30), -1, 31333131131444414222, -0.628571428571429
65651, GREEDY, UCBV (120) (30), -1, 33323225253322555444, -0.628571428571429
83737, GREEDY, UCBV (120) (30), -1, 32323223302131, -0.8
20991, GREEDY, UCBV (120) (30), -1, 33343443434422202022000011, -0.457142857142857
93715, GREEDY, UCBV (1.7) (0.6), -1, 3331353315155111552422, -0.571428571428571
62735, GREEDY, UCBV (1.7) (0.6), -1, 34333444314116113422, -0.628571428571429
42394, GREEDY, UCBV (1.7) (0.6), -1, 32333222352550544544, -0.628571428571429
12312, GREEDY, UCBV (1.7) (0.6), -1, 3332332225255532554144, -0.571428571428571
50452, GREEDY, UCBV (1.7) (0.6), -1, 3235333525522026365660002444, -0.4
22323, GREEDY, UCBV (1.7) (0.6), -1, 3335353352222522554644, -0.571428571428571
39123, GREEDY, UCBV (1.7) (0.6), -1, 323233262535225444, -0.685714285714286
75675, GREEDY, UCBV (1.7) (0.6), -1, 35353335563444, -0.8
12392, GREEDY, UCBV (1.7) (0.6), -1, 32333222352550553244, -0.628571428571429
11221, GREEDY, UCBV (1.7) (0.6), 1, 33323226223320444555454455060060666, 0.16
13200, GREEDY, UCBV (1.7) (0.6), -1, 313331311444443222, -0.685714285714286
99932, GREEDY, UCBV (1.7) (0.6), -1, 3433344431411511322122, -0.571428571428571
65651, GREEDY, UCBV (1.7) (0.6), -1, 3334344341443116161122, -0.571428571428571
83737, GREEDY, UCBV (1.7) (0.6), 1, 33353535535222252244444, 0.434285714285714
20991, GREEDY, UCBV (1.7) (0.6), -1, 33313133151151555522222244, -0.457142857142857
93715, GREEDY, UCBV (0.9) (0.9), -1, 313335355112142422, -0.685714285714286
62735, GREEDY, UCBV (0.9) (0.9), -1, 32333222352035525544, -0.628571428571429
42394, GREEDY, UCBV (0.9) (0.9), -1, 31333531151551315444442622, -0.457142857142857
12312, GREEDY, UCBV (0.9) (0.9), -1, 3334334441411134112522, -0.571428571428571
50452, GREEDY, UCBV (0.9) (0.9), -1, 34333444314116143122, -0.628571428571429
22323, GREEDY, UCBV (0.9) (0.9), 1, 3233322235255440414112145435100, 0.251428571428571
39123, GREEDY, UCBV (0.9) (0.9), 1, 3232332236263662464446441010111, 0.251428571428571
75675, GREEDY, UCBV (0.9) (0.9), -1, 3133313115355444445222, -0.571428571428571
12392, GREEDY, UCBV (0.9) (0.9), -1, 3431333110114446413222, -0.571428571428571
11221, GREEDY, UCBV (0.9) (0.9), -1, 3233322422344441, -0.742857142857143
13200, GREEDY, UCBV (0.9) (0.9), -1, 33343344414111341222, -0.628571428571429
99932, GREEDY, UCBV (0.9) (0.9), -1, 343331311144464636641555, -0.514285714285714
65651, GREEDY, UCBV (0.9) (0.9), -1, 323332223520325550500644, -0.514285714285714
83737, GREEDY, UCBV (0.9) (0.9), -1, 333232262322364446664044000011, -0.342857142857143
20991, GREEDY, UCBV (0.9) (0.9), -1, 343334443141161636601122, -0.514285714285714
