39123, GREEDY, UCB1 (2) (12500), -1, 323335322220325551101110005044, -0.342857142857143
75675, GREEDY, UCB1 (2) (12500), -1, 31333131144440403004112022, -0.457142857142857
12392, GREEDY, UCB1 (2) (12500), -1, 323332252032305005565626664644, -0.342857142857143
11221, GREEDY, UCB1 (2) (12500), -1, 34333444314116113422, -0.628571428571429
93715, GREEDY, UCB1 (2) (15000), -1, 3433344431411212, -0.742857142857143
62735, GREEDY, UCB1 (2) (15000), -1, 33343443414431111222, -0.628571428571429
42394, GREEDY, UCB1 (2) (15000), -1, 32333222352032515515111544, -0.457142857142857
12312, GREEDY, UCB1 (2) (15000), -1, 323332223520325050005544, -0.514285714285714
50452, GREEDY, UCB1 (2) (15000), -1, 343334443146341616661122, -0.514285714285714
22323, GREEDY, UCB1 (2) (15000), -1, 34333444314116122122, -0.628571428571429
39123, GREEDY, UCB1 (2) (15000), -1, 33343443414431111622, -0.628571428571429
75675, GREEDY, UCB1 (2) (15000), -1, 32333222352550553520060044, -0.457142857142857
12392, GREEDY, UCB1 (2) (15000), -1, 343433443044300026222226660611, -0.342857142857143
11221, GREEDY, UCB1 (2) (15000), -1, 34333444314116113122, -0.628571428571429
93715, GREEDY, UCB1 (2) (17500), -1, 34333444314634111010010022, -0.457142857142857
62735, GREEDY, UCB1 (2) (17500), -1, 3332332225255355211411, -0.571428571428571
42394, GREEDY, UCB1 (2) (17500), -1, 343133311443441222, -0.685714285714286
12312, GREEDY, UCB1 (2) (17500), 1, 34333232242442423646655055556600011, 0.16
50452, GREEDY, UCB1 (2) (17500), -1, 34333444314116113122, -0.628571428571429
22323, GREEDY, UCB1 (2) (17500), -1, 343334414131143416252622, -0.514285714285714
39123, GREEDY, UCB1 (2) (17500), -1, 3334334441411134112522, -0.571428571428571
75675, GREEDY, UCB1 (2) (17500), -1, 323332223025325050055544, -0.514285714285714
12392, GREEDY, UCB1 (2) (17500), -1, 3433344431411611322422, -0.571428571428571
11221, GREEDY, UCB1 (2) (17500), -1, 33343440443322202002264011, -0.457142857142857
93715, GREEDY, UCB1 (2) (20000), -1, 3433344642322225, -0.742857142857143
62735, GREEDY, UCB1 (2) (20000), -1, 3433344431411611322622, -0.571428571428571
42394, GREEDY, UCB1 (2) (20000), -1, 343334414131143416252622, -0.514285714285714
12312, GREEDY, UCB1 (2) (20000), -1, 323332223520325050055544, -0.514285714285714
50452, GREEDY, UCB1 (2) (20000), 0, 343433424222342326466616111010055555001056, 0
22323, GREEDY, UCB1 (2) (20000), -1, 34333441413114341626266522, -0.457142857142857
39123, GREEDY, UCB1 (2) (20000), -1, 333232252533225050550044, -0.514285714285714
75675, GREEDY, UCB1 (2) (20000), -1, 323332223520325050055044, -0.514285714285714
12392, GREEDY, UCB1 (2) (20000), -1, 3433344431463415111156555022, -0.4
11221, GREEDY, UCB1 (2) (20000), -1, 343331344442212215, -0.685714285714286
