80107, UCB1 (1.41), UCBV(2) (0.5), 1, 3341526, 0.8
26391, UCB1 (1.41), UCBV(2) (0.5), -1, 3434330434, -0.914285714285714
80880, UCB1 (1.41), UCBV(2) (0.5), -1, 343433440203002243422511611266600655, -0.171428571428571
17172, UCB1 (1.41), UCBV(2) (0.5), 1, 4332134202243404403366656555506602511, 0.114285714285714
60432, UCB1 (1.41), UCBV(2) (0.5), 1, 3341526, 0.8
87727, UCB1 (1.41), UCBV(2) (0.5), -1, 433103104434441330011055556656606622, -0.171428571428571
20111, UCB1 (1.41), UCBV(2) (0.5), 1, 3223323223416555656623655116110000044, 0.114285714285714
10880, UCB1 (1.41), UCBV(2) (0.5), 1, 3223232236006006141, 0.525714285714286
98172, UCB1 (1.41), UCBV(2) (0.5), -1, 326345443223225553445161661366400011, -0.171428571428571
10432, UCB1 (1.41), UCBV(2) (0.5), 0, 236232203352444254554034030551111066611066, 0
17727, UCB1 (1.41), UCBV(2) (0.5), -1, 2322365356553626, -0.742857142857143
10111, UCB1 (1.41), UCBV(2) (0.5), 1, 333236332626602202100665555040411, 0.205714285714286
12345, UCB1 (1.41), UCBV(2) (0.5), 1, 3223322350446, 0.662857142857143
54321, UCB1 (1.41), UCBV(2) (0.5), 1, 343433442111211224000331056664662600255, 0.0685714285714286
67890, UCB1 (1.41), UCBV(2) (0.5), -1, 323323355202022500355011506111, -0.342857142857143
19876, UCB1 (1.41), UCBV(2) (0.5), 1, 3245343342243012555220003446665566611, 0.114285714285714
29292, UCB1 (1.41), UCBV(2) (0.5), 1, 33451232422415131, 0.571428571428572
24680, UCB1 (1.41), UCBV(2) (0.5), -1, 3345122323324455524325060660064540111101, -0.0571428571428572
13579, UCB1 (1.41), UCBV(2) (0.5), -1, 1311344502, -0.914285714285714
15937, UCB1 (1.41), UCBV(2) (0.5), -1, 43344334616042, -0.8
24068, UCB1 (1.41), UCBV(2) (0.5), -1, 32232233455553451000063666005611211144, -0.114285714285714
91357, UCB1 (1.41), UCBV(2) (0.5), -1, 323223356250633066056552010051111644, -0.171428571428571
