60432, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 334222653342204466611113035552, -0.342857142857143
87727, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 2322325223535530440530050066666611, -0.228571428571429
20111, UCBV(1.4) (0.5), UCBV(2) (0.5), 1, 32223354453454422040030053656266011, 0.16
10880, UCBV(1.4) (0.5), UCBV(2) (0.5), 1, 43434430612311136653260665225, 0.297142857142857
98172, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 434433433022222630600006642614161155, -0.171428571428571
10432, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 332401220002322333044411104466616655, -0.171428571428571
17727, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 423456244516333665, -0.685714285714286
10111, UCBV(1.4) (0.5), UCBV(2) (0.5), 1, 2333225535524223111351106166656000644, 0.114285714285714
12345, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 13365555161163350066030064342444, -0.285714285714286
54321, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 543355013114416344665536530664000122, -0.171428571428571
67890, UCBV(1.4) (0.5), UCBV(2) (0.5), 1, 323332225656605562662030030501111, 0.205714285714286
19876, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 332401414203441332, -0.685714285714286
29292, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 323323355200025225360005161161116644, -0.171428571428571
24680, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 334265442422454552033326, -0.514285714285714
13579, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 3223232236051113116535560241566444, -0.228571428571429
15937, UCBV(1.4) (0.5), UCBV(2) (0.5), 0, 434344133611403426612210032212666000555555, 0
24068, UCBV(1.4) (0.5), UCBV(2) (0.5), 0, 344133133441666161163406505550052224222500, 0
91357, UCBV(1.4) (0.5), UCBV(2) (0.5), -1, 23325323233250552441660444540060611161, -0.114285714285714
